"V1","V2","V3"
18891823,-0.648214831423899,6.7304589341384e-120
22988916,-0.647313150463746,1.83444844854375e-119
4488256,-0.647016168582479,2.5503948921359e-119
18893236,-0.646474830718813,4.64560338205543e-119
20355698,-0.646003533034906,7.82257112820777e-119
13912476,-0.645844753668645,9.32184445063418e-119
24869857,-0.643552096121296,1.15889131218227e-117
20363607,-0.643367740062275,1.41790967265768e-117
24880107,-0.643066245357,1.97146214251333e-117
20357825,-0.642808305893063,2.61289307346486e-117
22986233,-0.642257114840908,4.76585141186573e-117
9323638,-0.641701745598626,8.72157478104618e-117
18898499,-0.640387765640932,3.62568086472427e-116
18893943,-0.637835378006064,5.65943731226537e-115
9319431,-0.637405671650042,8.96549960584977e-115
30403052,-0.636031081564494,3.88675138629223e-114
33963000,-0.636021423988863,3.92690877609477e-114
24882258,-0.635336033595788,8.13680530019262e-114
9316940,-0.634225324055102,2.63938108243759e-113
15060398,-0.633491697819029,5.72668527437547e-113
7292970,-0.631612991001701,4.12326652456921e-112
30387823,-0.631348713779989,5.43711005384096e-112
30401999,-0.631269494656176,5.90682766426269e-112
18897292,-0.630770804015138,9.94602982592788e-112
18892680,-0.630729413960919,1.03851573258688e-111
17093334,-0.628985236209863,6.3755140905073e-111
3300471,-0.628011703618363,1.74669779649118e-110
9321319,-0.627712613419569,2.37890232715484e-110
20121490,-0.627337327036575,3.50353384143673e-110
18897099,-0.626506951864461,8.2356722067126e-110
33966218,-0.626161767704663,1.17400987806008e-109
15273532,-0.626082180717731,1.27392770084648e-109
20135109,-0.625795521462964,1.70933618212839e-109
17093836,-0.625556431732294,2.18383536437802e-109
37403436,-0.625531074402237,2.24129075566197e-109
20118964,-0.625462708984619,2.40381051734447e-109
9321827,-0.62441003913233,7.04801141642405e-109
15414501,-0.623686804151368,1.47230024292043e-108
32378039,-0.621750629686022,1.04798100958834e-107
20135103,-0.621701940703754,1.10080529086433e-107
13914276,-0.621426510828636,1.45363373739062e-107
22980029,-0.621321332422688,1.61633688406112e-107
37402934,-0.619739375161919,7.93317361122925e-107
4467990,-0.618918160761417,1.80531638743855e-106
15417974,-0.616881453486661,1.37296989619711e-105
20129913,-0.616453956975058,2.09788404754543e-105
30394499,-0.616195757539186,2.7092515120654e-105
9315532,-0.615153245681671,7.59015950669294e-105
20124245,-0.615090423546247,8.07528594758831e-105
18896711,-0.614845635889713,1.02788283677265e-104
37410397,-0.614261824697934,1.82592324473761e-104
16288662,-0.613034474248523,6.08676964725063e-104
14576924,-0.61197797877466,1.7086752622264e-103
20120974,-0.611386937785873,3.03878492219126e-103
20163098,-0.611078820932937,4.10052471869855e-103
32363653,-0.610951156670845,4.64214843954219e-103
20118268,-0.610627845380174,6.35418299013445e-103
33967558,-0.609743220580396,1.49727749873231e-102
24877992,-0.609717579061818,1.53488022509607e-102
20133324,-0.608999202468118,3.0723397191323e-102
20119318,-0.608641091189238,4.33936625797438e-102
33956640,-0.60862064266001,4.42571284269723e-102
13917568,-0.608297506099079,6.04116418369542e-102
24888489,-0.607874899238216,9.07031150788278e-102
24874303,-0.607717935293457,1.05465503487016e-101
20352336,-0.607397120809496,1.43498118265578e-101
30402621,-0.60737882251163,1.46039214143759e-101
20125147,-0.606519289159239,3.32660943114459e-101
20118594,-0.606056093495563,5.17869172050494e-101
20118357,-0.605090424933806,1.2999876945681e-100
