"V1","V2","V3","V4","V5"
2515610,-0.497619696548496,4.82930020463079e-21,-0.169981426351504,-0.6676011229
1005099,-0.49570682167782,0.000256892175128278,-0.56417485612218,-1.0598816778
683463,-0.495687899709211,1.01111213654208e-07,-0.20942999969079,-0.7051178994
1006026,-0.495481895153049,3.13056653728895e-05,-0.562792922770028,-1.05827481792308
3444701,-0.495315955940035,7.48113968679493e-24,-0.131675621012346,-0.626991576952381
683781,-0.494698220560592,2.48440918050501e-08,-0.208978601712135,-0.703676822272727
3443402,-0.49469432726109,5.56730274958266e-12,-0.13675447743891,-0.6314488047
2965581,-0.493809364067326,5.25320515938482e-08,-0.394104860016008,-0.887914224083333
3443555,-0.493571800057299,5.41490931222791e-13,-0.136305365215428,-0.629877165272727
3312215,-0.493171177333835,1.25271358258052e-05,-0.407182670966165,-0.9003538483
1005589,-0.492513883139656,0.000139966340742045,-0.563746006496707,-1.05625988963636
3444876,-0.492510695117769,2.87419021128043e-32,-0.128061863951196,-0.620572559068965
1926170,-0.490656213759856,1.1636816185576e-05,-0.485413980058325,-0.976070193818182
3444710,-0.490243833717076,1.92013874352323e-24,-0.131318331192015,-0.621562164909091
3444230,-0.490212477916981,5.6114173521113e-16,-0.134970463083019,-0.625182941
3444879,-0.490139808346082,5.91660250144969e-32,-0.128125882309091,-0.618265690655172
2091611,-0.490122261474643,2.29064091908812e-05,-0.454923155888993,-0.945045417363636
3443382,-0.490021948907143,8.86733116800794e-12,-0.136797981892857,-0.6268199308
3443453,-0.489936172645489,8.9430399554085e-12,-0.136798780554511,-0.6267349532
1005972,-0.489725874106576,3.87183465259014e-05,-0.56286259527804,-1.05258846938462
3444602,-0.489460833775405,3.45260551689384e-21,-0.132701579329858,-0.622162413105263
683279,-0.489355607821992,1.47379893211787e-07,-0.209488959578008,-0.6988445674
3443444,-0.489153956945301,9.66327632437118e-12,-0.136806063754699,-0.6259600207
3444017,-0.489135620671355,7.23000223382211e-15,-0.135439933867107,-0.624575554538461
3443360,-0.488812228718233,9.9954591449314e-12,-0.136809245581767,-0.6256214743
3444682,-0.48723465617501,4.24254039418347e-23,-0.131833635253561,-0.619068291428571
2091356,-0.487003743229511,6.02275213998604e-05,-0.455408544570489,-0.9424122878
1006188,-0.486572595226818,1.1334933846317e-05,-0.561994669239849,-1.04856726446667
3443362,-0.485582231758647,1.37407621573333e-11,-0.136839320041353,-0.6224215518
3443873,-0.484987456305556,1.30655563072897e-13,-0.135941715611111,-0.620929171916667
3443863,-0.484877375856403,1.32364546777337e-13,-0.135942945560264,-0.620820321416667
3444054,-0.484689959514971,1.28134830304692e-14,-0.135493745408106,-0.620183704923077
2091674,-0.484567582103107,1.23222057345092e-05,-0.454528867146893,-0.93909644925
3443291,-0.484436404374812,1.53747837819691e-11,-0.136849988825188,-0.6212863932
3444711,-0.48320698358244,9.23542716843153e-24,-0.131462475235741,-0.614669458818182
3444800,-0.48304131734381,8.16390710719804e-26,-0.130566350489524,-0.613607667833333
3444835,-0.481688519995195,1.05371545858298e-26,-0.130148081044805,-0.61183660104
706977,-0.481515653700334,2.26389673943854e-07,-0.52406122393603,-1.00557687763636
3443350,-0.48048691866485,2.25987802927027e-11,-0.13688676243515,-0.6173736811
1926421,-0.480476933241525,7.3588465321517e-06,-0.485070865675141,-0.965547798916667
3443301,-0.478930889497556,2.62782330413983e-11,-0.136901250602444,-0.6158321401
3444758,-0.47886255709039,2.3255068347873e-24,-0.13110559890961,-0.609968156
419034,-0.478507477892293,0.00766028915257327,-0.830272164707707,-1.3087796426
3444135,-0.478300428592318,2.9080655606475e-15,-0.135125741193396,-0.613426169785714
525361,-0.478035381728898,0.00028976808255837,-0.552077037816557,-1.03011241954545
1390963,-0.477558989083853,0.000609730058177744,-0.788580486116147,-1.2661394752
3443966,-0.477316471730697,3.20729440844274e-13,-0.13602742493597,-0.613343896666667
